index,brand,part_number,duration_type,duration,lift,lsa,description
88,COMP Cams,CCA-35-255-5,adv,254/258,0.478/0.485,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 254/258, Lift .478/.485, Ford, 351W, Each"
89,Howards Cams,HRS-222725-10,adv,272/272,0.544/0.544,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 272/272, Lift .544/.544, Ford, 302 HO/351W, Each"
90,Melling,MEL-MTF-5,adv,280/290,0.448/0.472,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 280/290, Lift .448/.472, Ford, 351W, Each"
91,COMP Cams,CCA-35-601-8,adv,291/311,0.541/0.526,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 291/311, Lift .541/.526, Ford, 351W, Each"
92,Howards Cams,HRS-210931-10,adv,269/269,0.475/0.475,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 269/269, Lift .475/.475, Ford, 221, 255, 260, 289, 302"
93,COMP Cams,CCA-31-242-3,adv,268/280,0.509/0.512,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 268/280, Lift .509/.512, Ford, Small Block, Each"
94,COMP Cams,CCA-35-440-8,adv,281/281,0.512/0.512,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 281/281, Lift .512/.512, Ford, 5.0L HO, Each"
95,Howards Cams,HRS-220373-12,adv,295/305,0.672/0.688,,"Camshaft, Mechanical Roller Tappet, Advertised Duration 295/305, Lift .672/.688, Ford, 351W, Each"
96,COMP Cams,CCA-31-246-3,adv,274/286,0.523/0.523,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 274/286, Lift .523/.523, Ford, Small Block, Each"
97,Howards Cams,HRS-220051-08,adv,277/289,0.496/0.520,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 277/289, Lift .496/.520, Ford, 351W, Each"
98,COMP Cams,CCA-31-255-5,adv,250/260,0.462/0.474,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 250/260, Lift .462/.474, Ford, Small Block, Each"
99,COMP Cams,CCA-35-218-3,adv,268/268,0.456/0.456,,"Camshaft, Hydraulic Flat Tappet, Advertised Duration 268/268, Lift .456/.456, Ford, 5.0L HO, 5.8L, Each"
100,COMP Cams,CCA-35-306-8,adv,284/290,0.533/0.544,,"Camshaft, Hydraulic Roller Tappet, Advertised Duration 284/290, Lift .533/.544, Ford, 5.0L HO, Each"
